Seq,MAC Address,RSSI,Rate,Timestamp,Signal_Length,RX_State,Channel,Secondary_Channel,BB_Format,Single_MPDU,Noise_Floor,RX_End_State,Second,RX_Estimate_Info_Valid,RX_Estimate_Len,HE_SIG_A1,HE_SIG_A2,HE_SIG_B_Len,Is_Group,RX_Match0,RX_Match1,RX_Match2,RX_Match3,CSI_Data
3020,66:59:62:45:00:7e,-44,11,161458410,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-28', '14', '-29', '12', '-29', '9', '-29', '7', '-31', '4', '-31', '2', '-30', '0', '-29', '-1', '-28', '-3', '-27', '-4', '-26', '-5', '-26', '-4', '-25', '-4', '-24', '-4', '-24', '-4', '-23', '-4', '-23', '-3', '-22', '-3', '-22', '-2', '-22', '-2', '-23', '-2', '-23', '-1', '-24', '0', '-23', '-1', '-24', '1', '-24', '2', '-24', '2', '-25', '2', '0', '0', '-25', '2', '-25', '2', '-26', '2', '-24', '2', '-24', '3', '-24', '3', '-23', '3', '-23', '4', '-23', '4', '-23', '4', '-23', '5', '-23', '6', '-24', '6', '-24', '7', '-24', '5', '-25', '5', '-25', '6', '-25', '6', '-26', '5', '-26', '3', '-28', '3', '-29', '2', '-29', '2', '-29', '0', '-28', '-2', '-29', '-3', '-29', '-5', '-29', '-7', '0', '0', '0', '0', '0', '0']"
3021,66:59:62:45:00:7e,-44,11,161513423,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-20', '22', '-22', '20', '-23', '18', '-25', '15', '-27', '13', '-27', '11', '-27', '10', '-27', '9', '-26', '7', '-26', '6', '-26', '5', '-26', '4', '-25', '3', '-24', '4', '-23', '3', '-23', '4', '-22', '4', '-22', '4', '-22', '5', '-22', '5', '-22', '6', '-22', '6', '-22', '7', '-23', '7', '-23', '8', '-23', '8', '-24', '9', '-24', '9', '0', '0', '-24', '10', '-24', '9', '-24', '9', '-23', '9', '-23', '9', '-23', '9', '-23', '9', '-23', '10', '-22', '10', '-22', '10', '-22', '10', '-22', '10', '-22', '11', '-23', '11', '-23', '10', '-23', '11', '-24', '11', '-24', '10', '-25', '10', '-26', '9', '-27', '8', '-28', '7', '-28', '6', '-28', '4', '-28', '3', '-28', '1', '-29', '-1', '-29', '-3', '0', '0', '0', '0', '0', '0']"
3022,66:59:62:45:00:7e,-44,11,161560872,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-4', '31', '-6', '30', '-8', '29', '-9', '29', '-10', '28', '-11', '28', '-11', '27', '-12', '27', '-12', '27', '-11', '26', '-11', '25', '-10', '24', '-10', '25', '-9', '24', '-7', '23', '-6', '22', '-4', '23', '-4', '24', '-2', '24', '-1', '23', '1', '23', '3', '23', '4', '23', '5', '23', '6', '24', '8', '23', '8', '24', '9', '24', '0', '0', '11', '22', '12', '21', '13', '21', '14', '20', '15', '19', '15', '17', '16', '16', '17', '16', '18', '15', '19', '14', '19', '14', '20', '12', '20', '11', '22', '10', '22', '10', '23', '9', '23', '9', '25', '9', '25', '8', '26', '8', '26', '8', '26', '8', '26', '8', '26', '9', '26', '10', '26', '10', '26', '11', '26', '12', '0', '0', '0', '0', '0', '0']"
3023,66:59:62:45:00:7e,-44,11,161620929,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-5', '29', '-8', '29', '-10', '29', '-12', '29', '-14', '26', '-15', '26', '-15', '24', '-17', '25', '-17', '23', '-17', '23', '-17', '22', '-16', '20', '-17', '20', '-16', '20', '-15', '19', '-14', '19', '-14', '19', '-13', '19', '-13', '21', '-12', '20', '-11', '21', '-10', '21', '-10', '21', '-9', '22', '-9', '24', '-9', '24', '-8', '24', '-8', '25', '0', '0', '-8', '26', '-7', '24', '-7', '25', '-5', '25', '-5', '24', '-4', '24', '-3', '24', '-3', '24', '-2', '24', '-2', '24', '-1', '24', '-1', '24', '-1', '24', '0', '25', '0', '25', '1', '26', '0', '25', '0', '26', '0', '27', '0', '27', '-1', '28', '-2', '27', '-3', '27', '-4', '27', '-5', '27', '-6', '27', '-7', '27', '-10', '27', '0', '0', '0', '0', '0', '0']"
3024,66:59:62:45:00:7e,-44,11,161668768,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '27', '-11', '28', '-8', '28', '-6', '28', '-4', '29', '-2', '29', '0', '28', '1', '27', '2', '26', '2', '26', '3', '25', '3', '25', '3', '24', '3', '23', '3', '22', '3', '22', '2', '22', '2', '22', '1', '22', '0', '22', '0', '22', '-1', '23', '-2', '23', '-3', '23', '-3', '23', '-5', '24', '-5', '24', '-5', '25', '-6', '0', '0', '24', '-7', '26', '-7', '25', '-7', '24', '-8', '24', '-8', '24', '-8', '23', '-9', '23', '-9', '22', '-10', '23', '-10', '23', '-10', '23', '-11', '23', '-11', '23', '-11', '24', '-11', '24', '-12', '25', '-12', '25', '-11', '25', '-11', '26', '-11', '26', '-10', '28', '-9', '28', '-8', '28', '-7', '28', '-6', '28', '-4', '30', '-3', '30', '-1', '0', '0', '0', '0', '0', '0']"
3025,66:59:62:45:00:7e,-45,11,161718764,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-3', '30', '-5', '30', '-7', '29', '-9', '29', '-10', '28', '-10', '27', '-11', '27', '-11', '26', '-11', '26', '-11', '25', '-11', '24', '-9', '24', '-9', '23', '-8', '23', '-6', '22', '-6', '21', '-4', '21', '-3', '23', '-2', '23', '-1', '22', '1', '22', '2', '22', '4', '22', '5', '23', '7', '24', '8', '23', '9', '23', '10', '24', '0', '0', '12', '23', '13', '22', '13', '21', '14', '21', '15', '20', '15', '19', '17', '18', '17', '17', '18', '16', '19', '16', '20', '15', '20', '14', '21', '13', '21', '12', '23', '13', '23', '12', '23', '12', '25', '12', '25', '12', '26', '12', '26', '12', '26', '12', '26', '12', '25', '13', '26', '13', '26', '14', '26', '15', '25', '16', '0', '0', '0', '0', '0', '0']"
3026,66:59:62:45:00:7e,-47,11,161766866,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '7', '30', '6', '30', '4', '30', '2', '29', '1', '30', '0', '29', '-1', '29', '-1', '28', '-2', '28', '-2', '27', '-2', '27', '0', '26', '0', '25', '0', '25', '2', '24', '3', '23', '4', '22', '5', '22', '6', '22', '8', '21', '9', '20', '10', '20', '11', '20', '13', '20', '14', '20', '16', '19', '17', '19', '18', '18', '0', '0', '19', '18', '20', '16', '20', '15', '21', '15', '21', '13', '22', '12', '22', '11', '23', '10', '23', '9', '23', '8', '24', '7', '24', '5', '25', '4', '25', '3', '26', '3', '27', '2', '27', '1', '28', '2', '28', '1', '29', '2', '29', '1', '30', '1', '30', '1', '29', '1', '30', '3', '30', '3', '30', '4', '30', '5', '0', '0', '0', '0', '0', '0']"
3027,66:59:62:45:00:7e,-44,11,161821155,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '24', '-19', '25', '-17', '26', '-16', '25', '-15', '27', '-14', '27', '-12', '28', '-11', '26', '-10', '27', '-10', '26', '-9', '25', '-10', '25', '-8', '25', '-9', '24', '-9', '22', '-8', '21', '-10', '20', '-10', '21', '-12', '19', '-12', '20', '-14', '18', '-14', '18', '-15', '18', '-16', '17', '-17', '18', '-19', '18', '-19', '17', '-20', '17', '-21', '0', '0', '15', '-21', '15', '-22', '13', '-21', '13', '-23', '12', '-22', '11', '-22', '10', '-22', '10', '-23', '8', '-24', '8', '-23', '7', '-23', '6', '-23', '6', '-24', '5', '-24', '4', '-26', '3', '-26', '5', '-26', '3', '-26', '2', '-27', '3', '-27', '4', '-27', '4', '-29', '6', '-28', '7', '-27', '7', '-27', '7', '-27', '8', '-28', '10', '-27', '0', '0', '0', '0', '0', '0']"
3028,66:59:62:45:00:7e,-45,11,161867756,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-31', '-7', '-29', '-9', '-27', '-11', '-26', '-13', '-26', '-15', '-24', '-17', '-24', '-18', '-22', '-18', '-21', '-18', '-20', '-18', '-19', '-19', '-18', '-18', '-16', '-19', '-16', '-18', '-15', '-17', '-15', '-16', '-16', '-15', '-17', '-15', '-16', '-15', '-18', '-15', '-18', '-14', '-19', '-13', '-20', '-13', '-20', '-13', '-20', '-13', '-21', '-13', '-21', '-13', '-22', '-13', '0', '0', '-23', '-13', '-22', '-13', '-23', '-12', '-23', '-12', '-23', '-11', '-23', '-11', '-23', '-10', '-23', '-10', '-22', '-10', '-23', '-10', '-23', '-10', '-23', '-9', '-23', '-8', '-23', '-8', '-25', '-10', '-24', '-10', '-26', '-10', '-25', '-11', '-25', '-11', '-26', '-12', '-26', '-13', '-26', '-14', '-25', '-15', '-24', '-17', '-23', '-19', '-22', '-19', '-22', '-21', '-20', '-23', '0', '0', '0', '0', '0', '0']"
3029,66:59:62:45:00:7e,-45,11,161917637,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '26', '-13', '27', '-12', '28', '-10', '28', '-9', '28', '-7', '28', '-6', '28', '-5', '27', '-5', '27', '-4', '26', '-4', '25', '-4', '25', '-4', '25', '-5', '23', '-5', '23', '-5', '22', '-6', '21', '-7', '20', '-9', '20', '-10', '20', '-11', '19', '-12', '19', '-12', '19', '-14', '19', '-15', '18', '-16', '17', '-17', '17', '-18', '17', '-19', '0', '0', '15', '-21', '14', '-21', '14', '-22', '12', '-22', '12', '-22', '11', '-22', '10', '-22', '9', '-23', '7', '-23', '7', '-23', '5', '-24', '5', '-24', '3', '-24', '3', '-25', '2', '-26', '1', '-26', '2', '-27', '1', '-27', '1', '-27', '1', '-28', '2', '-28', '2', '-29', '2', '-29', '3', '-29', '3', '-29', '3', '-29', '5', '-30', '6', '-30', '0', '0', '0', '0', '0', '0']"
3030,66:59:62:45:00:7e,-45,11,161963539,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '20', '-22', '23', '-20', '23', '-18', '25', '-16', '27', '-14', '28', '-12', '27', '-10', '27', '-9', '27', '-7', '26', '-6', '26', '-4', '25', '-4', '25', '-4', '24', '-4', '23', '-3', '23', '-3', '22', '-4', '22', '-4', '22', '-5', '22', '-5', '23', '-6', '23', '-6', '22', '-7', '23', '-6', '23', '-7', '24', '-8', '23', '-8', '25', '-8', '0', '0', '24', '-8', '24', '-9', '25', '-9', '24', '-8', '25', '-9', '24', '-9', '23', '-9', '23', '-9', '22', '-9', '23', '-9', '23', '-9', '23', '-10', '23', '-10', '23', '-10', '23', '-10', '25', '-10', '25', '-9', '26', '-9', '26', '-8', '26', '-8', '27', '-7', '28', '-6', '28', '-4', '29', '-3', '28', '-1', '29', '0', '29', '2', '30', '5', '0', '0', '0', '0', '0', '0']"
3031,66:59:62:45:00:7e,-45,11,162010884,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-30', '2', '-30', '-1', '-30', '-1', '-30', '-3', '-30', '-5', '-29', '-5', '-29', '-6', '-28', '-6', '-28', '-6', '-27', '-6', '-26', '-5', '-26', '-5', '-25', '-3', '-24', '-3', '-23', '-2', '-23', '-1', '-23', '0', '-23', '2', '-22', '4', '-23', '5', '-22', '5', '-22', '7', '-22', '8', '-22', '10', '-22', '12', '-22', '13', '-21', '14', '-21', '15', '0', '0', '-20', '18', '-20', '18', '-18', '18', '-17', '19', '-16', '19', '-15', '20', '-14', '20', '-13', '21', '-11', '22', '-11', '22', '-9', '23', '-9', '23', '-8', '24', '-7', '24', '-6', '25', '-5', '26', '-5', '27', '-4', '27', '-4', '27', '-4', '27', '-4', '29', '-5', '29', '-4', '29', '-5', '28', '-5', '29', '-6', '28', '-7', '30', '-8', '29', '0', '0', '0', '0', '0', '0']"
3032,66:59:62:45:00:7e,-44,11,162058089,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-8', '27', '-11', '27', '-13', '26', '-14', '26', '-15', '24', '-16', '23', '-17', '23', '-17', '22', '-18', '21', '-17', '21', '-18', '21', '-17', '19', '-16', '20', '-15', '19', '-14', '18', '-13', '19', '-12', '19', '-12', '20', '-11', '20', '-10', '21', '-9', '21', '-9', '21', '-8', '22', '-7', '23', '-7', '24', '-6', '24', '-5', '25', '-5', '26', '0', '0', '-4', '27', '-3', '26', '-2', '25', '-1', '26', '-1', '24', '0', '24', '0', '24', '1', '23', '3', '24', '3', '24', '4', '23', '5', '23', '5', '23', '6', '23', '7', '24', '8', '24', '8', '25', '8', '24', '8', '25', '8', '26', '7', '26', '7', '26', '6', '27', '6', '26', '5', '28', '4', '27', '3', '28', '2', '28', '0', '0', '0', '0', '0', '0']"
3033,66:59:62:45:00:7e,-45,11,162104915,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '18', '-23', '20', '-22', '22', '-20', '23', '-18', '25', '-16', '25', '-14', '26', '-13', '25', '-12', '25', '-10', '25', '-10', '25', '-9', '25', '-8', '24', '-8', '23', '-8', '22', '-7', '22', '-7', '21', '-8', '21', '-8', '20', '-9', '20', '-10', '20', '-10', '20', '-11', '20', '-11', '21', '-12', '20', '-13', '21', '-13', '22', '-13', '21', '-15', '0', '0', '21', '-15', '21', '-15', '21', '-15', '20', '-15', '20', '-15', '19', '-15', '19', '-15', '18', '-16', '18', '-16', '17', '-17', '17', '-16', '18', '-17', '18', '-18', '18', '-18', '18', '-18', '18', '-18', '19', '-19', '19', '-18', '20', '-19', '21', '-18', '22', '-18', '23', '-17', '24', '-16', '24', '-15', '25', '-14', '26', '-13', '28', '-12', '28', '-10', '0', '0', '0', '0', '0', '0']"
3034,66:59:62:45:00:7e,-44,11,162160083,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '13', '-27', '15', '-26', '16', '-25', '19', '-23', '21', '-21', '22', '-19', '22', '-18', '23', '-18', '23', '-16', '23', '-15', '23', '-14', '22', '-13', '22', '-14', '21', '-13', '20', '-12', '20', '-13', '19', '-12', '19', '-14', '18', '-14', '18', '-15', '17', '-15', '18', '-15', '17', '-16', '17', '-17', '17', '-18', '17', '-19', '17', '-19', '17', '-20', '0', '0', '16', '-20', '17', '-20', '16', '-20', '15', '-21', '15', '-20', '15', '-20', '14', '-20', '14', '-20', '13', '-21', '13', '-21', '12', '-21', '12', '-21', '11', '-22', '11', '-22', '12', '-23', '12', '-24', '12', '-23', '13', '-24', '13', '-24', '14', '-24', '16', '-24', '17', '-23', '17', '-23', '18', '-22', '19', '-22', '20', '-21', '22', '-20', '23', '-18', '0', '0', '0', '0', '0', '0']"
3035,66:59:62:45:00:7e,-48,11,162206542,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '29', '8', '29', '10', '28', '11', '28', '13', '26', '14', '27', '16', '25', '16', '25', '16', '24', '16', '23', '16', '22', '15', '22', '14', '22', '13', '21', '12', '21', '11', '21', '10', '21', '9', '21', '7', '21', '6', '21', '5', '23', '4', '23', '3', '23', '1', '23', '0', '23', '-2', '24', '-3', '24', '-4', '25', '-5', '0', '0', '24', '-8', '24', '-8', '24', '-9', '22', '-10', '23', '-12', '21', '-12', '21', '-13', '20', '-14', '19', '-15', '17', '-16', '17', '-17', '16', '-19', '16', '-19', '16', '-21', '15', '-21', '16', '-22', '15', '-23', '15', '-24', '16', '-24', '16', '-24', '16', '-25', '17', '-25', '17', '-25', '18', '-25', '18', '-25', '19', '-24', '20', '-24', '21', '-24', '0', '0', '0', '0', '0', '0']"
3036,66:59:62:45:00:7e,-44,11,162256910,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-20', '21', '-21', '20', '-23', '19', '-23', '17', '-25', '15', '-25', '14', '-25', '13', '-25', '12', '-25', '11', '-25', '11', '-24', '10', '-24', '9', '-23', '10', '-23', '10', '-22', '9', '-21', '10', '-20', '10', '-20', '11', '-19', '13', '-19', '13', '-19', '13', '-18', '14', '-18', '15', '-18', '16', '-18', '18', '-17', '18', '-17', '19', '-17', '19', '0', '0', '-17', '20', '-17', '20', '-16', '20', '-15', '21', '-14', '20', '-13', '20', '-13', '21', '-13', '21', '-11', '22', '-11', '21', '-10', '22', '-10', '22', '-9', '22', '-8', '23', '-8', '24', '-8', '24', '-8', '25', '-8', '25', '-9', '25', '-9', '26', '-10', '26', '-11', '26', '-12', '26', '-12', '25', '-13', '25', '-13', '24', '-15', '24', '-16', '23', '0', '0', '0', '0', '0', '0']"
3037,66:59:62:45:00:7e,-47,11,162302247,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-30', '3', '-30', '1', '-30', '0', '-29', '-2', '-29', '-4', '-29', '-5', '-28', '-5', '-28', '-6', '-27', '-6', '-27', '-7', '-26', '-6', '-25', '-6', '-25', '-5', '-24', '-4', '-24', '-4', '-23', '-3', '-23', '-2', '-23', '-1', '-23', '1', '-22', '2', '-24', '3', '-23', '4', '-24', '5', '-23', '6', '-23', '8', '-24', '9', '-23', '10', '-23', '10', '0', '0', '-22', '12', '-23', '13', '-22', '14', '-20', '14', '-20', '15', '-19', '15', '-19', '16', '-17', '17', '-16', '17', '-15', '18', '-15', '19', '-15', '20', '-14', '21', '-13', '21', '-13', '22', '-13', '23', '-13', '23', '-13', '24', '-13', '25', '-14', '25', '-14', '25', '-15', '25', '-15', '25', '-16', '25', '-16', '24', '-17', '24', '-18', '24', '-20', '24', '0', '0', '0', '0', '0', '0']"
3038,66:59:62:45:00:7e,-45,11,162349035,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-26', '-15', '-24', '-17', '-23', '-20', '-21', '-22', '-20', '-22', '-18', '-23', '-17', '-24', '-15', '-24', '-14', '-23', '-13', '-24', '-12', '-24', '-12', '-23', '-11', '-22', '-11', '-22', '-11', '-20', '-11', '-20', '-12', '-19', '-12', '-19', '-13', '-19', '-13', '-19', '-14', '-18', '-14', '-17', '-16', '-17', '-16', '-17', '-17', '-17', '-17', '-17', '-18', '-17', '-18', '-18', '0', '0', '-19', '-17', '-20', '-17', '-20', '-16', '-20', '-16', '-20', '-15', '-20', '-14', '-20', '-13', '-20', '-13', '-20', '-13', '-20', '-13', '-21', '-12', '-21', '-11', '-22', '-11', '-23', '-11', '-23', '-12', '-24', '-12', '-24', '-12', '-24', '-12', '-24', '-13', '-24', '-14', '-24', '-15', '-25', '-16', '-25', '-16', '-23', '-17', '-22', '-19', '-22', '-21', '-21', '-21', '-19', '-23', '0', '0', '0', '0', '0', '0']"
3039,66:59:62:45:00:7e,-44,11,162395504,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-29', '-7', '-28', '-9', '-28', '-10', '-27', '-11', '-26', '-13', '-26', '-14', '-25', '-14', '-24', '-14', '-24', '-14', '-23', '-14', '-22', '-14', '-22', '-13', '-22', '-12', '-21', '-12', '-22', '-11', '-22', '-10', '-22', '-8', '-22', '-8', '-22', '-6', '-23', '-5', '-23', '-4', '-24', '-3', '-24', '-2', '-25', '-1', '-25', '0', '-25', '1', '-26', '2', '-26', '3', '0', '0', '-26', '5', '-26', '5', '-25', '6', '-24', '7', '-23', '8', '-23', '9', '-22', '10', '-21', '10', '-21', '11', '-21', '12', '-20', '12', '-20', '14', '-20', '15', '-19', '16', '-19', '16', '-19', '17', '-19', '18', '-19', '18', '-18', '18', '-19', '19', '-19', '19', '-21', '19', '-20', '19', '-21', '18', '-21', '18', '-22', '17', '-23', '17', '-24', '16', '0', '0', '0', '0', '0', '0']"
3040,66:59:62:45:00:7e,-48,11,162441929,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '23', '19', '22', '22', '19', '23', '17', '25', '15', '26', '14', '27', '12', '27', '11', '27', '9', '27', '8', '26', '8', '26', '8', '24', '7', '25', '6', '24', '7', '22', '7', '22', '8', '21', '8', '21', '9', '21', '9', '20', '10', '20', '11', '19', '12', '19', '13', '19', '13', '20', '15', '19', '16', '19', '16', '20', '0', '0', '17', '20', '17', '18', '18', '18', '17', '17', '18', '16', '17', '16', '18', '15', '19', '15', '19', '15', '19', '14', '19', '14', '20', '13', '21', '13', '22', '13', '21', '14', '23', '15', '22', '14', '23', '15', '23', '16', '23', '17', '23', '17', '23', '18', '22', '19', '21', '19', '21', '22', '20', '22', '19', '24', '18', '26', '0', '0', '0', '0', '0', '0']"
3041,66:59:62:45:00:7e,-49,11,162487981,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-30', '2', '-30', '0', '-30', '-1', '-29', '-3', '-29', '-5', '-29', '-6', '-28', '-7', '-28', '-7', '-27', '-8', '-26', '-7', '-25', '-7', '-25', '-8', '-24', '-7', '-23', '-6', '-22', '-5', '-22', '-5', '-21', '-3', '-21', '-2', '-21', '0', '-21', '1', '-21', '2', '-21', '3', '-21', '5', '-21', '6', '-21', '8', '-21', '8', '-21', '10', '-20', '10', '0', '0', '-19', '13', '-19', '13', '-19', '14', '-17', '15', '-16', '16', '-16', '17', '-15', '17', '-14', '18', '-12', '19', '-12', '19', '-11', '20', '-11', '21', '-10', '22', '-10', '23', '-9', '24', '-8', '25', '-9', '26', '-8', '27', '-9', '27', '-9', '27', '-10', '28', '-11', '29', '-11', '29', '-12', '28', '-12', '28', '-13', '28', '-15', '28', '-16', '28', '0', '0', '0', '0', '0', '0']"
3042,66:59:62:45:00:7e,-45,11,162537533,83,0,11,11,2,0,-96,0,0,1,128,117461767,0,2,0,1,0,0,0,"['0', '0', '0', '0', '0', '0', '0', '0', '-5', '30', '-8', '30', '-10', '29', '-12', '28', '-15', '26', '-17', '25', '-18', '24', '-18', '23', '-19', '22', '-19', '20', '-19', '20', '-19', '18', '-20', '17', '-19', '17', '-18', '16', '-18', '15', '-17', '15', '-17', '16', '-16', '17', '-16', '17', '-16', '17', '-15', '17', '-16', '18', '-15', '19', '-15', '20', '-15', '20', '-15', '20', '-15', '21', '0', '0', '-15', '22', '-16', '20', '-15', '21', '-14', '21', '-15', '20', '-14', '20', '-13', '20', '-13', '21', '-12', '21', '-12', '21', '-13', '21', '-13', '21', '-13', '21', '-12', '21', '-13', '23', '-13', '23', '-14', '23', '-15', '23', '-15', '23', '-16', '23', '-18', '23', '-19', '22', '-20', '21', '-21', '20', '-22', '19', '-24', '18', '-25', '16', '-27', '14', '0', '0', '0', '0', '0', '0']"
